"initial_alias","converted_alias","name","description","namespace"
"ENSMUSG00000084186","ENSMUSG00000084186","Rpl36-ps10","ribosomal protein L36, pseudogene 10 [Source:MGI Symbol;Acc:MGI:3645166]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000109195","ENSMUSG00000109195","Gm45038","predicted gene 45038 [Source:MGI Symbol;Acc:MGI:5753614]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000105814","ENSMUSG00000105814","Mir703","microRNA 703 [Source:MGI Symbol;Acc:MGI:3629657]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000002881","ENSMUSG00000002881","Nab1","Ngfi-A binding protein 1 [Source:MGI Symbol;Acc:MGI:107564]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000043336","ENSMUSG00000043336","Filip1l","filamin A interacting protein 1-like [Source:MGI Symbol;Acc:MGI:1925999]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024357","ENSMUSG00000024357","Sil1","SIL1 nucleotide exchange factor [Source:MGI Symbol;Acc:MGI:1932040]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000113032","ENSMUSG00000113032","Gm47578","predicted gene, 47578 [Source:MGI Symbol;Acc:MGI:6096613]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026674","ENSMUSG00000026674","Ddr2","discoidin domain receptor family, member 2 [Source:MGI Symbol;Acc:MGI:1345277]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020521","ENSMUSG00000020521","Rnft1","ring finger protein, transmembrane 1 [Source:MGI Symbol;Acc:MGI:1924142]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000087303","ENSMUSG00000087303","Lipo2","lipase, member O2 [Source:MGI Symbol;Acc:MGI:3644466]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026064","ENSMUSG00000026064","Ptp4a1","protein tyrosine phosphatase 4a1 [Source:MGI Symbol;Acc:MGI:1277096]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000108689","ENSMUSG00000108689","Gm45354","predicted gene 45354 [Source:MGI Symbol;Acc:MGI:5791190]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000037855","ENSMUSG00000037855","Zfp365","zinc finger protein 365 [Source:MGI Symbol;Acc:MGI:2143676]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000041141","ENSMUSG00000041141","Pnma8a","PNMA family member 8A [Source:MGI Symbol;Acc:MGI:1918941]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000080811","ENSMUSG00000080811","Gm14513","predicted gene 14513 [Source:MGI Symbol;Acc:MGI:3648369]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000019888","ENSMUSG00000019888","Mgat4c","MGAT4 family, member C [Source:MGI Symbol;Acc:MGI:1914819]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000090486","ENSMUSG00000090486","BC035947","cDNA sequence BC035947 [Source:MGI Symbol;Acc:MGI:2652858]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021796","ENSMUSG00000021796","Bmpr1a","bone morphogenetic protein receptor, type 1A [Source:MGI Symbol;Acc:MGI:1338938]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000005580","ENSMUSG00000005580","Adcy9","adenylate cyclase 9 [Source:MGI Symbol;Acc:MGI:108450]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020608","ENSMUSG00000020608","Smc6","structural maintenance of chromosomes 6 [Source:MGI Symbol;Acc:MGI:1914491]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027006","ENSMUSG00000027006","Dnajc10","DnaJ heat shock protein family (Hsp40) member C10 [Source:MGI Symbol;Acc:MGI:1914111]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000009628","ENSMUSG00000009628","Tex15","testis expressed gene 15 [Source:MGI Symbol;Acc:MGI:1934816]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025451","ENSMUSG00000025451","Paip1","polyadenylate binding protein-interacting protein 1 [Source:MGI Symbol;Acc:MGI:2384993]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000117863","ENSMUSG00000117863","Vmn1r61","vomeronasal 1 receptor 61 [Source:MGI Symbol;Acc:MGI:3779692]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000047037","ENSMUSG00000047037","Nipa1","non imprinted in Prader-Willi/Angelman syndrome 1 homolog (human) [Source:MGI Symbol;Acc:MGI:2442058]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000023781","ENSMUSG00000023781","Hes7","hes family bHLH transcription factor 7 [Source:MGI Symbol;Acc:MGI:2135679]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000019787","ENSMUSG00000019787","Trdn","triadin [Source:MGI Symbol;Acc:MGI:1924007]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000097178","ENSMUSG00000097178","2310002F09Rik","RIKEN cDNA 2310002F09 gene [Source:MGI Symbol;Acc:MGI:1916779]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000104966","ENSMUSG00000104966","Gm43273","predicted gene 43273 [Source:MGI Symbol;Acc:MGI:5663410]","ARRAYEXPRESS,ENSG"
"ENSMUSG00002076809","ENSMUSG00002076809","Gm54754","predicted gene, 54754 [Source:MGI Symbol;Acc:MGI:6845985]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000048234","ENSMUSG00000048234","Rnf149","ring finger protein 149 [Source:MGI Symbol;Acc:MGI:2677438]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027195","ENSMUSG00000027195","Hsd17b12","hydroxysteroid (17-beta) dehydrogenase 12 [Source:MGI Symbol;Acc:MGI:1926967]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000034981","ENSMUSG00000034981","Parm1","prostate androgen-regulated mucin-like protein 1 [Source:MGI Symbol;Acc:MGI:2443349]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000042284","ENSMUSG00000042284","Itga1","integrin alpha 1 [Source:MGI Symbol;Acc:MGI:96599]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038267","ENSMUSG00000038267","Slc22a23","solute carrier family 22, member 23 [Source:MGI Symbol;Acc:MGI:1920352]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032913","ENSMUSG00000032913","Lrig2","leucine-rich repeats and immunoglobulin-like domains 2 [Source:MGI Symbol;Acc:MGI:2443718]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032383","ENSMUSG00000032383","Ppib","peptidylprolyl isomerase B [Source:MGI Symbol;Acc:MGI:97750]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000115210","ENSMUSG00000115210","Gm49308","predicted gene, 49308 [Source:MGI Symbol;Acc:MGI:6118810]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000116903","ENSMUSG00000116903","Gm19522","predicted gene, 19522 [Source:MGI Symbol;Acc:MGI:5011707]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000116866","ENSMUSG00000116866","Gm8938","predicted gene 8938 [Source:MGI Symbol;Acc:MGI:3643400]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000114535","ENSMUSG00000114535","Gm47246","predicted gene, 47246 [Source:MGI Symbol;Acc:MGI:6096070]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000117294","ENSMUSG00000117294","Gm49839","predicted gene, 49839 [Source:MGI Symbol;Acc:MGI:6270508]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000082341","ENSMUSG00000082341","Gm14143","predicted gene 14143 [Source:MGI Symbol;Acc:MGI:3649545]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038633","ENSMUSG00000038633","Degs1","delta(4)-desaturase, sphingolipid 1 [Source:MGI Symbol;Acc:MGI:1097711]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000019810","ENSMUSG00000019810","Fuca2","fucosidase, alpha-L- 2, plasma [Source:MGI Symbol;Acc:MGI:1914098]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000043903","ENSMUSG00000043903","Zfp469","zinc finger protein 469 [Source:MGI Symbol;Acc:MGI:2684868]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000073910","ENSMUSG00000073910","Mob3b","MOB kinase activator 3B [Source:MGI Symbol;Acc:MGI:2664539]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022708","ENSMUSG00000022708","Zbtb20","zinc finger and BTB domain containing 20 [Source:MGI Symbol;Acc:MGI:1929213]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000109536","ENSMUSG00000109536","9330162G02Rik","RIKEN cDNA 9330162G02 gene [Source:MGI Symbol;Acc:MGI:2442217]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000004364","ENSMUSG00000004364","Cul3","cullin 3 [Source:MGI Symbol;Acc:MGI:1347360]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069301","ENSMUSG00000069301","H2ac11","H2A clustered histone 11 [Source:MGI Symbol;Acc:MGI:2448293]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032076","ENSMUSG00000032076","Cadm1","cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:1889272]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000040396","ENSMUSG00000040396","Abhd13","abhydrolase domain containing 13 [Source:MGI Symbol;Acc:MGI:1916154]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000083830","ENSMUSG00000083830","Gm8839","predicted gene 8839 [Source:MGI Symbol;Acc:MGI:3647576]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033629","ENSMUSG00000033629","Hacd3","3-hydroxyacyl-CoA dehydratase 3 [Source:MGI Symbol;Acc:MGI:1889341]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000036934","ENSMUSG00000036934","4921524J17Rik","RIKEN cDNA 4921524J17 gene [Source:MGI Symbol;Acc:MGI:1913964]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022664","ENSMUSG00000022664","Slc35a5","solute carrier family 35, member A5 [Source:MGI Symbol;Acc:MGI:1921352]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033671","ENSMUSG00000033671","Cep350","centrosomal protein 350 [Source:MGI Symbol;Acc:MGI:1921331]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000066626","ENSMUSG00000066626","Gm5121","predicted gene 5121 [Source:MGI Symbol;Acc:MGI:3647258]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024413","ENSMUSG00000024413","Npc1","NPC intracellular cholesterol transporter 1 [Source:MGI Symbol;Acc:MGI:1097712]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000096099","ENSMUSG00000096099","Vmn1r220","vomeronasal 1 receptor 220 [Source:MGI Symbol;Acc:MGI:2159675]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000081196","ENSMUSG00000081196","Gm13858","predicted gene 13858 [Source:MGI Symbol;Acc:MGI:3649681]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000080710","ENSMUSG00000080710","Gm8107","predicted gene 8107 [Source:MGI Symbol;Acc:MGI:3645536]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000103295","ENSMUSG00000103295","Scp2-ps1","sterol carrier protein 2, pseudogene 1 [Source:MGI Symbol;Acc:MGI:98255]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000103088","ENSMUSG00000103088","Pcdhgb6","protocadherin gamma subfamily B, 6 [Source:MGI Symbol;Acc:MGI:1935197]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000047040","ENSMUSG00000047040","Prr15l","proline rich 15-like [Source:MGI Symbol;Acc:MGI:2387599]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029716","ENSMUSG00000029716","Tfr2","transferrin receptor 2 [Source:MGI Symbol;Acc:MGI:1354956]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000036356","ENSMUSG00000036356","Csgalnact1","chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:2442354]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031376","ENSMUSG00000031376","Atp2b3","ATPase, Ca++ transporting, plasma membrane 3 [Source:MGI Symbol;Acc:MGI:1347353]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000097673","ENSMUSG00000097673","Gm26608","predicted gene, 26608 [Source:MGI Symbol;Acc:MGI:5477102]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022015","ENSMUSG00000022015","Tnfsf11","tumor necrosis factor (ligand) superfamily, member 11 [Source:MGI Symbol;Acc:MGI:1100089]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000079505","ENSMUSG00000079505","Gm11131","predicted gene 11131 [Source:MGI Symbol;Acc:MGI:3779386]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000036298","ENSMUSG00000036298","Slc2a13","solute carrier family 2 (facilitated glucose transporter), member 13 [Source:MGI Symbol;Acc:MGI:2146030]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000075570","ENSMUSG00000075570","Krt26","keratin 26 [Source:MGI Symbol;Acc:MGI:2444913]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022799","ENSMUSG00000022799","Arhgap31","Rho GTPase activating protein 31 [Source:MGI Symbol;Acc:MGI:1333857]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000113511","ENSMUSG00000113511","Gm19046","predicted gene, 19046 [Source:MGI Symbol;Acc:MGI:5011231]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000116969","ENSMUSG00000116969","Gm19771","predicted gene, 19771 [Source:MGI Symbol;Acc:MGI:5011956]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000039239","ENSMUSG00000039239","Tgfb2","transforming growth factor, beta 2 [Source:MGI Symbol;Acc:MGI:98726]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000066372","ENSMUSG00000066372","Vmn2r65","vomeronasal 2, receptor 65 [Source:MGI Symbol;Acc:MGI:3642776]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000112662","ENSMUSG00000112662","Gm47922","predicted gene, 47922 [Source:MGI Symbol;Acc:MGI:6097178]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021940","ENSMUSG00000021940","Ptpn20","protein tyrosine phosphatase, non-receptor type 20 [Source:MGI Symbol;Acc:MGI:1196295]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030898","ENSMUSG00000030898","Cckbr","cholecystokinin B receptor [Source:MGI Symbol;Acc:MGI:99479]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000112502","ENSMUSG00000112502","Gm46194","predicted gene, 46194 [Source:MGI Symbol;Acc:MGI:5825831]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024164","ENSMUSG00000024164","C3","complement component 3 [Source:MGI Symbol;Acc:MGI:88227]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000102425","ENSMUSG00000102425","Gm26616","predicted gene, 26616 [Source:MGI Symbol;Acc:MGI:5477110]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000100768","ENSMUSG00000100768","Gm29055","predicted gene 29055 [Source:MGI Symbol;Acc:MGI:5579761]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000096929","ENSMUSG00000096929","A330023F24Rik","RIKEN cDNA A330023F24 gene [Source:MGI Symbol;Acc:MGI:2443958]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000013338","ENSMUSG00000013338","Fer1l4","fer-1-like 4 (C. elegans) [Source:MGI Symbol;Acc:MGI:1921812]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000109693","ENSMUSG00000109693","Gm45483","predicted gene 45483 [Source:MGI Symbol;Acc:MGI:5791319]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000049041","ENSMUSG00000049041","Or1r1","olfactory receptor family 1 subfamily JRmember 1 [Source:MGI Symbol;Acc:MGI:3030232]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000097226","ENSMUSG00000097226","Gm26600","predicted gene, 26600 [Source:MGI Symbol;Acc:MGI:5477094]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000012428","ENSMUSG00000012428","Steap4","STEAP family member 4 [Source:MGI Symbol;Acc:MGI:1923560]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028926","ENSMUSG00000028926","Cdk14","cyclin-dependent kinase 14 [Source:MGI Symbol;Acc:MGI:894318]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000046924","ENSMUSG00000046924","Vmn1r179","vomeronasal 1 receptor 179 [Source:MGI Symbol;Acc:MGI:3033486]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000102741","ENSMUSG00000102741","Gm2979","predicted gene 2979 [Source:MGI Symbol;Acc:MGI:3781157]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000093661","ENSMUSG00000093661","Eif4e3","eukaryotic translation initiation factor 4E member 3 [Source:MGI Symbol;Acc:MGI:1914142]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029830","ENSMUSG00000029830","Svopl","SV2 related protein homolog (rat)-like [Source:MGI Symbol;Acc:MGI:2444335]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027505","ENSMUSG00000027505","Fam209","family with sequence similarity 209 [Source:MGI Symbol;Acc:MGI:1923676]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000110344","ENSMUSG00000110344","Smim36","small integral membrane protein 36 [Source:MGI Symbol;Acc:MGI:5804831]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000070498","ENSMUSG00000070498","Tmem132b","transmembrane protein 132B [Source:MGI Symbol;Acc:MGI:3609245]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000065435","ENSMUSG00000065435","Mir135b","microRNA 135b [Source:MGI Symbol;Acc:MGI:3618732]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000110758","ENSMUSG00000110758","Gm48092","predicted gene, 48092 [Source:MGI Symbol;Acc:MGI:6097436]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000099625","ENSMUSG00000099625","Gm29325","predicted gene 29325 [Source:MGI Symbol;Acc:MGI:5580031]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000116755","ENSMUSG00000116755","6430553K19Rik","RIKEN cDNA 6430553K19 gene [Source:MGI Symbol;Acc:MGI:3588245]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000115659","ENSMUSG00000115659","Gm41138","predicted gene, 41138 [Source:MGI Symbol;Acc:MGI:5624023]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000061048","ENSMUSG00000061048","Cdh3","cadherin 3 [Source:MGI Symbol;Acc:MGI:88356]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020303","ENSMUSG00000020303","Stc2","stanniocalcin 2 [Source:MGI Symbol;Acc:MGI:1316731]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029501","ENSMUSG00000029501","Ankle2","ankyrin repeat and LEM domain containing 2 [Source:MGI Symbol;Acc:MGI:1261856]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000062683","ENSMUSG00000062683","Atp5g2","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9) [Source:MGI Symbol;Acc:MGI:1915192]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020583","ENSMUSG00000020583","Matn3","matrilin 3 [Source:MGI Symbol;Acc:MGI:1328350]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000071267","ENSMUSG00000071267","Zfp942","zinc finger protein 942 [Source:MGI Symbol;Acc:MGI:1920483]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000005043","ENSMUSG00000005043","Sgsh","N-sulfoglucosamine sulfohydrolase (sulfamidase) [Source:MGI Symbol;Acc:MGI:1350341]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033306","ENSMUSG00000033306","Lpp","LIM domain containing preferred translocation partner in lipoma [Source:MGI Symbol;Acc:MGI:2441849]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000045975","ENSMUSG00000045975","C2cd2","C2 calcium-dependent domain containing 2 [Source:MGI Symbol;Acc:MGI:1891883]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000116883","ENSMUSG00000116883","Gm49700","predicted gene, 49700 [Source:MGI Symbol;Acc:MGI:6215158]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000063804","ENSMUSG00000063804","Lin28b","lin-28 homolog B [Source:MGI Symbol;Acc:MGI:3584032]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022205","ENSMUSG00000022205","Sub1","SUB1 homolog, transcriptional regulator [Source:MGI Symbol;Acc:MGI:104811]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000090641","ENSMUSG00000090641","Zfp712","zinc finger protein 712 [Source:MGI Symbol;Acc:MGI:1925501]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033773","ENSMUSG00000033773","Rpap2","RNA polymerase II associated protein 2 [Source:MGI Symbol;Acc:MGI:2141142]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000035104","ENSMUSG00000035104","Eva1a","eva-1 homolog A (C. elegans) [Source:MGI Symbol;Acc:MGI:2385247]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029470","ENSMUSG00000029470","P2rx4","purinergic receptor P2X, ligand-gated ion channel 4 [Source:MGI Symbol;Acc:MGI:1338859]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000079988","ENSMUSG00000079988","Gm11970","predicted gene 11970 [Source:MGI Symbol;Acc:MGI:3650056]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000003199","ENSMUSG00000003199","Mpnd","MPN domain containing [Source:MGI Symbol;Acc:MGI:1915297]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000075132","ENSMUSG00000075132","Or5d43","olfactory receptor family 5 subfamily D member 43 [Source:MGI Symbol;Acc:MGI:3031007]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022180","ENSMUSG00000022180","Slc7a8","solute carrier family 7 (cationic amino acid transporter, y+ system), member 8 [Source:MGI Symbol;Acc:MGI:1355323]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000045005","ENSMUSG00000045005","Fzd5","frizzled class receptor 5 [Source:MGI Symbol;Acc:MGI:108571]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000103159","ENSMUSG00000103159","F830112A20Rik","RIKEN cDNA F830112A20 gene [Source:MGI Symbol;Acc:MGI:3641781]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069892","ENSMUSG00000069892","9930111J21Rik2","RIKEN cDNA 9930111J21 gene 2 [Source:MGI Symbol;Acc:MGI:3711310]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027070","ENSMUSG00000027070","Lrp2","low density lipoprotein receptor-related protein 2 [Source:MGI Symbol;Acc:MGI:95794]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028246","ENSMUSG00000028246","Faxc","failed axon connections homolog [Source:MGI Symbol;Acc:MGI:1923382]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000082039","ENSMUSG00000082039","Gm15653","predicted gene 15653 [Source:MGI Symbol;Acc:MGI:3783097]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000040713","ENSMUSG00000040713","Creg1","cellular repressor of E1A-stimulated genes 1 [Source:MGI Symbol;Acc:MGI:1344382]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025544","ENSMUSG00000025544","Tm9sf2","transmembrane 9 superfamily member 2 [Source:MGI Symbol;Acc:MGI:1915309]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000069793","ENSMUSG00000069793","Slfn9","schlafen 9 [Source:MGI Symbol;Acc:MGI:2445121]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000099454","ENSMUSG00000099454","Gm8367","predicted gene 8367 [Source:MGI Symbol;Acc:MGI:3645196]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000050732","ENSMUSG00000050732","Vamp8","vesicle-associated membrane protein 8 [Source:MGI Symbol;Acc:MGI:1336882]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027248","ENSMUSG00000027248","Pdia3","protein disulfide isomerase associated 3 [Source:MGI Symbol;Acc:MGI:95834]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000023960","ENSMUSG00000023960","Enpp5","ectonucleotide pyrophosphatase/phosphodiesterase 5 [Source:MGI Symbol;Acc:MGI:1933830]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000049624","ENSMUSG00000049624","Slc17a5","solute carrier family 17 (anion/sugar transporter), member 5 [Source:MGI Symbol;Acc:MGI:1924105]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000087677","ENSMUSG00000087677","Gm15226","predicted gene 15226 [Source:MGI Symbol;Acc:MGI:3705187]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000037921","ENSMUSG00000037921","Ddx60","DExD/H box helicase 60 [Source:MGI Symbol;Acc:MGI:2384570]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026872","ENSMUSG00000026872","Zeb2","zinc finger E-box binding homeobox 2 [Source:MGI Symbol;Acc:MGI:1344407]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000006010","ENSMUSG00000006010","Odr4","odr4 GPCR localization factor homolog [Source:MGI Symbol;Acc:MGI:2385108]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000107937","ENSMUSG00000107937","Gm44200","predicted gene, 44200 [Source:MGI Symbol;Acc:MGI:5690592]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000097587","ENSMUSG00000097587","4930578M01Rik","RIKEN cDNA 4930578M01 gene [Source:MGI Symbol;Acc:MGI:1923201]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000064871","ENSMUSG00000064871","Snord58b","small nucleolar RNA, C/D box 58B [Source:MGI Symbol;Acc:MGI:3819545]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000110773","ENSMUSG00000110773","Gm39326","predicted gene, 39326 [Source:MGI Symbol;Acc:MGI:5622211]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000037033","ENSMUSG00000037033","Clca3b","chloride channel accessory 3B [Source:MGI Symbol;Acc:MGI:2181989]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000109196","ENSMUSG00000109196","Gm44715","predicted gene 44715 [Source:MGI Symbol;Acc:MGI:5753291]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000049576","ENSMUSG00000049576","Zfa-ps","zinc finger protein, autosomal, pseudogene [Source:MGI Symbol;Acc:MGI:99153]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000105358","ENSMUSG00000105358","Gm43099","predicted gene 43099 [Source:MGI Symbol;Acc:MGI:5663236]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000115744","ENSMUSG00000115744","Vmn1r80","vomeronasal 1 receptor 80 [Source:MGI Symbol;Acc:MGI:2159642]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000093650","ENSMUSG00000093650","Gm20631","predicted gene 20631 [Source:MGI Symbol;Acc:MGI:5313078]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000019806","ENSMUSG00000019806","Aig1","androgen-induced 1 [Source:MGI Symbol;Acc:MGI:1913503]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000080723","ENSMUSG00000080723","Gm12564","predicted gene 12564 [Source:MGI Symbol;Acc:MGI:3652207]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000112788","ENSMUSG00000112788","Gm47821","predicted gene, 47821 [Source:MGI Symbol;Acc:MGI:6097011]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029700","ENSMUSG00000029700","Slc13a1","solute carrier family 13 (sodium/sulfate symporters), member 1 [Source:MGI Symbol;Acc:MGI:1859937]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000079022","ENSMUSG00000079022","Col22a1","collagen, type XXII, alpha 1 [Source:MGI Symbol;Acc:MGI:1916950]","ARRAYEXPRESS,ENSG"
